label,K,sample_size,accuracy,recall,precision,f1
kNN_distance_pow_PCA,2,500,0.8180000000000001,0.8194354027688358,0.8205806430960942,0.8143929256495634
kNN_distance_pow_PCA,2,1000,0.871,0.87037737772593,0.8720609321993815,0.8681534238586364
kNN_distance_pow_PCA,2,2500,0.9196,0.9189004934041012,0.9194966068401331,0.9181497946849566
kNN_distance_pow_PCA,2,5000,0.9401999999999999,0.9391952618772135,0.9396811747304814,0.9389944091904041
kNN_distance_pow_PCA,2,8000,0.9495,0.9490075239211283,0.9499468303852794,0.9492346822011024
kNN_distance_pow_PCA,2,10000,0.9552,0.9547548085480813,0.9553073731356972,0.9548413204278439
kNN_distance_pow_PCA,2,25000,0.96524,0.9649831711884452,0.9652169629759598,0.965019134840033
kNN_distance_pow_PCA,2,42000,0.970952380952381,0.9706714752304209,0.9709898240503576,0.9707852944692961
kNN_distance_pow_PCA,4,500,0.824,0.8352242018602313,0.8237584204795892,0.8215269195713844
kNN_distance_pow_PCA,4,1000,0.885,0.8823657370576207,0.883236664257761,0.8803421278668166
kNN_distance_pow_PCA,4,2500,0.9268000000000001,0.9261967268313676,0.9261278209641141,0.9251996353895541
kNN_distance_pow_PCA,4,5000,0.946,0.9451686008639473,0.945146052147877,0.9448047296933797
kNN_distance_pow_PCA,4,8000,0.953375,0.9529017092853312,0.9536854369426944,0.953057339126194
kNN_distance_pow_PCA,4,10000,0.9606,0.9602323338848591,0.9605746085479256,0.960217792132448
kNN_distance_pow_PCA,4,25000,0.97052,0.9703069696948199,0.9704631814655291,0.9703194154218929
kNN_distance_pow_PCA,4,42000,0.9751428571428571,0.9749435324725946,0.9751309164541251,0.9750021820350073
kNN_distance_pow_PCA,8,500,0.8326612903225806,0.8402134670884671,0.8420486111111111,0.8228821645975284
kNN_distance_pow_PCA,8,1000,0.885,0.8864292692601516,0.8823654856065847,0.8800073113460904
kNN_distance_pow_PCA,8,2500,0.9298878205128205,0.9288661443772929,0.9290084841623482,0.9276839342090126
kNN_distance_pow_PCA,8,5000,0.9462,0.9455538235561564,0.9451767364382108,0.9448262952773456
kNN_distance_pow_PCA,8,8000,0.955375,0.9548054039612028,0.9553352802144963,0.9548226560201293
kNN_distance_pow_PCA,8,10000,0.9634,0.9632677325652188,0.9634942446212322,0.963135025051933
kNN_distance_pow_PCA,8,25000,0.97244,0.9722821125947602,0.9723745318512969,0.972260131523744
kNN_distance_pow_PCA,8,42000,0.9765714285714285,0.9764108876859281,0.9766069667077936,0.9764626651722715
kNN_distance_pow_PCA,10,500,0.83,0.8271547619047619,0.8395555555555556,0.8111929851194557
kNN_distance_pow_PCA,10,1000,0.882,0.8809012254085784,0.882205833382304,0.8759533582836211
kNN_distance_pow_PCA,10,2500,0.9316,0.9302258964470478,0.9311533720234334,0.929248184708393
kNN_distance_pow_PCA,10,5000,0.9456,0.944585000906817,0.9448214054738677,0.9441214522299589
kNN_distance_pow_PCA,10,8000,0.954,0.9534488919678069,0.9538924790969754,0.953357569310521
kNN_distance_pow_PCA,10,10000,0.9639,0.9635569670965894,0.964198490830148,0.9636409140100298
kNN_distance_pow_PCA,10,25000,0.97272,0.9725784431498493,0.9726252838965044,0.9725208275842334
kNN_distance_pow_PCA,10,42000,0.9769761904761904,0.9767675526691384,0.9770215411808361,0.9768499704959435
kNN_distance_pow_PCA,12,500,0.839430894308943,0.8314985169151836,0.8384138007054673,0.8118616727317708
kNN_distance_pow_PCA,12,1000,0.8825301204819277,0.8834737715987716,0.882128034003034,0.8755910523145627
kNN_distance_pow_PCA,12,2500,0.9326923076923077,0.9319613801354115,0.9316781823716547,0.9301738189361742
kNN_distance_pow_PCA,12,5000,0.9477163461538461,0.9468650178794715,0.9469410844355521,0.946236822150428
kNN_distance_pow_PCA,12,8000,0.95508008008008,0.9544853448630126,0.9549760781748239,0.9543419951497158
kNN_distance_pow_PCA,12,10000,0.9633853541416566,0.9629945332573566,0.9633033863486674,0.9628441174183645
kNN_distance_pow_PCA,12,25000,0.9735157625220034,0.97338387595499,0.9734313061164318,0.9733304368843678
kNN_distance_pow_PCA,12,42000,0.977047619047619,0.9768555917668253,0.9771135162445763,0.9769267423069927
kNN_distance_pow_PCA,16,500,0.8387096774193549,0.8407800099206348,0.8458172123015872,0.8043675152008485
kNN_distance_pow_PCA,16,1000,0.8891129032258065,0.898221361971362,0.8859866522366522,0.8803404879098108
kNN_distance_pow_PCA,16,2500,0.9326923076923077,0.9311418706448257,0.9323528694174325,0.9298188835633125
kNN_distance_pow_PCA,16,5000,0.9471153846153846,0.9460150642234543,0.9467813435752302,0.9454188429117611
kNN_distance_pow_PCA,16,8000,0.9552499999999999,0.9544301449031569,0.9552588593707054,0.9543611264361065
kNN_distance_pow_PCA,16,10000,0.963,0.9629348936147453,0.9632088413102677,0.9626842203062864
kNN_distance_pow_PCA,16,25000,0.97351152368758,0.9732693361751441,0.9734261639928256,0.9732608314667882
kNN_distance_pow_PCA,16,42000,0.9770714285714286,0.9769007417345196,0.9771526083044162,0.9769630515746008
kNN_distance_pow_PCA,20,500,0.842,0.8465922619047619,0.8571157407407407,0.8035226972101972
kNN_distance_pow_PCA,20,1000,0.884,0.8873194444444444,0.8888033910533911,0.874525870886939
kNN_distance_pow_PCA,20,2500,0.9344,0.934087756606139,0.934002659520039,0.931337251190934
kNN_distance_pow_PCA,20,5000,0.9486,0.948658235040227,0.9481652714163382,0.9472031279613635
kNN_distance_pow_PCA,20,8000,0.955375,0.9549652195604145,0.9554577531134771,0.9546449314124607
