label,K,sample_size,accuracy,recall,precision,f1
kNN_uniform+PCA,2,500,0.8,0.8000072543896892,0.806228259643088,0.7958352537432503
kNN_uniform+PCA,2,1000,0.843,0.8415709548656655,0.8434682896354382,0.8388946530371137
kNN_uniform+PCA,2,2500,0.9024,0.901069078788681,0.9021308252740895,0.9002416657963414
kNN_uniform+PCA,2,5000,0.9308000000000001,0.9293074718731591,0.9304024404389565,0.929367448167415
kNN_uniform+PCA,2,8000,0.94075,0.9398930629067979,0.9413710527838222,0.9402799282207053
kNN_uniform+PCA,2,10000,0.9478,0.9472448779124825,0.9479025651393868,0.9473396147562275
kNN_uniform+PCA,2,25000,0.9610799999999999,0.9607484016617951,0.9610214916398689,0.9607966521530371
kNN_uniform+PCA,2,42000,0.968404761904762,0.9680581165901427,0.9684695934579051,0.9682099689030532
kNN_uniform+PCA,4,500,0.798,0.8029183867602986,0.7969023990715167,0.7897784240446228
kNN_uniform+PCA,4,1000,0.856,0.8550717727519945,0.8571755310922603,0.8519641720529517
kNN_uniform+PCA,4,2500,0.92,0.9188471919631134,0.9197678563885003,0.9182027326881933
kNN_uniform+PCA,4,5000,0.9408000000000001,0.9395685719783116,0.9399861936269501,0.9392655744107458
kNN_uniform+PCA,4,8000,0.945875,0.945201795033269,0.9462079978596761,0.9454342301948531
kNN_uniform+PCA,4,10000,0.9535,0.9529388121811632,0.9535540958510575,0.9530095429098878
kNN_uniform+PCA,4,25000,0.96728,0.9669600068221754,0.9671316922866597,0.9669765445877982
kNN_uniform+PCA,4,42000,0.9731666666666667,0.9728985646200039,0.9731171015792317,0.9729677045261618
kNN_uniform+PCA,8,500,0.814516129032258,0.8297521575646576,0.8199549062049062,0.8073185156692443
kNN_uniform+PCA,8,1000,0.86,0.8634772233485468,0.8603946768101179,0.8557050729620979
kNN_uniform+PCA,8,2500,0.9182692307692307,0.9166323888371354,0.9174145115810597,0.9152759098321246
kNN_uniform+PCA,8,5000,0.9418,0.9404909755894214,0.9411137288752688,0.9402468417482404
kNN_uniform+PCA,8,8000,0.948125,0.9473297517790316,0.9483855063880412,0.9475063261400453
kNN_uniform+PCA,8,10000,0.9545,0.9541312911154726,0.9547302293331039,0.9540851964043562
kNN_uniform+PCA,8,25000,0.96952,0.9692566642464465,0.9694591229239303,0.9692910544486198
kNN_uniform+PCA,8,42000,0.9738095238095238,0.9736140109649262,0.973806303993983,0.9736541900276675
kNN_uniform+PCA,10,500,0.8260000000000001,0.8238174603174603,0.8343170995670995,0.8067195676289431
kNN_uniform+PCA,10,1000,0.867,0.8676380955645662,0.8682937928084987,0.8605922320019554
kNN_uniform+PCA,10,2500,0.9212,0.9191606605994824,0.920359165244631,0.9179958195153859
kNN_uniform+PCA,10,5000,0.9434,0.9416497741312811,0.9429434339049299,0.9415906030786871
kNN_uniform+PCA,10,8000,0.9485,0.947713456340681,0.9486004675056068,0.9478114125244725
kNN_uniform+PCA,10,10000,0.9553999999999999,0.9548727499983299,0.9557820159020285,0.955010468346138
kNN_uniform+PCA,10,25000,0.97028,0.9700159166324741,0.9701973618502712,0.9700205457163675
kNN_uniform+PCA,10,42000,0.9741666666666666,0.9738791173101748,0.9742009321089755,0.9739838472278343
kNN_uniform+PCA,12,500,0.8170731707317074,0.81251924001924,0.8073600088183421,0.7830346033856955
kNN_uniform+PCA,12,1000,0.8604417670682731,0.8619624357124357,0.861258325008325,0.8514799339564282
kNN_uniform+PCA,12,2500,0.921073717948718,0.9200516607764433,0.9194165932997235,0.9179422701890316
kNN_uniform+PCA,12,5000,0.9431089743589743,0.9414328649611612,0.9421699453687051,0.9411038777632814
kNN_uniform+PCA,12,8000,0.9505755755755756,0.9497823915086738,0.9505835490043227,0.9497530746444811
kNN_uniform+PCA,12,10000,0.9556822729091636,0.9551645685924454,0.9557272596200342,0.955083115104332
kNN_uniform+PCA,12,25000,0.9705952952472395,0.9704001128151,0.970496485403304,0.9703638553486119
kNN_uniform+PCA,12,42000,0.9741190476190477,0.9738087241207112,0.9741635059410075,0.9739096409880338
kNN_uniform+PCA,16,500,0.8266129032258065,0.8379464285714285,0.8330598958333333,0.7894344264917181
kNN_uniform+PCA,16,1000,0.8639112903225806,0.8714228653291154,0.858576544982795,0.8516391972091973
kNN_uniform+PCA,16,2500,0.9230769230769231,0.9207318933027663,0.9227901468521473,0.919303823408158
kNN_uniform+PCA,16,5000,0.9431089743589743,0.9412072968104486,0.9430123486284724,0.9410604317561507
kNN_uniform+PCA,16,8000,0.95,0.9489927038148662,0.9501246713832052,0.9490909635914986
kNN_uniform+PCA,16,10000,0.9547,0.9543927818750011,0.9551108406745021,0.954234817451595
kNN_uniform+PCA,16,25000,0.9710307298335468,0.9706391148555614,0.9708892407806634,0.9706694409694151
kNN_uniform+PCA,16,42000,0.9746666666666667,0.9744319776758641,0.9747136881525532,0.9745023796767639
kNN_uniform+PCA,20,500,0.828,0.8365135582010582,0.8407152777777778,0.7823427429052429
kNN_uniform+PCA,20,1000,0.866,0.8694503968253968,0.8670970418470418,0.8516010816239145
kNN_uniform+PCA,20,2500,0.9248,0.9245429749988573,0.9225779325152794,0.9207032675151042
kNN_uniform+PCA,20,5000,0.9436,0.9424671771919468,0.9432530065376069,0.941535913798398
kNN_uniform+PCA,20,8000,0.95,0.9492816355818839,0.9500797695740295,0.9490333939148423
kNN_uniform+PCA,20,10000,0.9561999999999999,0.955569896963864,0.9563356997131343,0.9555154119810217
kNN_uniform+PCA,20,25000,0.97104,0.9708471744692231,0.9709866649168868,0.9707943944684682
kNN_uniform+PCA,20,42000,0.9749047619047619,0.9746002813861746,0.974942122473124,0.9746825602862111
kNN_uniform+PCA,40,500,0.825,0.838004298941799,0.8426421957671958,0.7476242119322476
kNN_uniform+PCA,40,1000,0.868,0.8702083333333334,0.8731875,0.8375405836447504
kNN_uniform+PCA,40,2500,0.9229838709677419,0.9232288406038406,0.9214408091908092,0.9149974045974717
kNN_uniform+PCA,40,5000,0.9428,0.9406427390226733,0.9424222415435852,0.9393641178204323
kNN_uniform+PCA,40,8000,0.950375,0.9492212984016576,0.9500205306422963,0.9483543910503431
kNN_uniform+PCA,40,10000,0.9567,0.9561467934365208,0.9568637132684727,0.9556358365346723
kNN_uniform+PCA,40,25000,0.97164,0.9713920882673497,0.9714283893235964,0.9711757067812079
kNN_uniform+PCA,40,42000,0.975047619047619,0.974775341987443,0.9750806363301391,0.9747865184764392
