step,state,score,best
0,86,0.9437380952380953,False
1,86,0.9437380952380953,False
2,94,0.9418571428571428,False
3,96,0.9417380952380953,False
4,100,0.9408095238095238,True
5,63,0.9487380952380953,True
6,58,0.9498571428571428,False
7,81,0.9448809523809524,False
8,100,0.9408095238095238,False
9,70,0.9472857142857143,False
10,68,0.9476428571428571,False
11,69,0.9474047619047619,False
12,94,0.9418571428571428,False
13,69,0.9474047619047619,False
14,58,0.9498571428571428,True
15,37,0.9557619047619048,False
16,55,0.9503809523809523,False
17,46,0.9529047619047619,False
18,55,0.9503809523809523,False
19,67,0.9478095238095238,False
20,74,0.9463333333333334,False
21,67,0.9478095238095238,False
22,68,0.9476428571428571,False
23,69,0.9474047619047619,False
24,37,0.9476428571428571,False
25,40,0.9545238095238096,False
