step,state,score,best
0,"(5, 34)",0.9749285714285714,False
1,"(5, 34)",0.9749285714285714,False
2,"(5, 50)",0.9747619047619047,False
3,"(5, 43)",0.9744285714285714,False
4,"(14, 43)",0.973047619047619,False
5,"(1, 43)",0.9708809523809524,False
6,"(1, 69)",0.9699285714285715,False
7,"(1, 67)",0.9702857142857143,False
8,"(1, 75)",0.9700714285714286,False
9,"(11, 75)",0.9720952380952381,False
10,"(19, 75)",0.9691428571428571,False
11,"(36, 75)",0.9650238095238095,False
12,"(67, 75)",0.9590952380952381,False
13,"(67, 57)",0.9615952380952381,False
14,"(74, 57)",0.9606190476190476,False
15,"(54, 57)",0.9639047619047619,False
16,"(70, 57)",0.9611666666666667,False
17,"(46, 57)",0.9650714285714286,False
18,"(57, 57)",0.9633333333333334,False
19,"(57, 48)",0.9646666666666667,False
20,"(41, 48)",0.9666428571428571,False
21,"(5, 34)",0.9645238095238096,False
22,"(1, 34)",0.9710714285714286,False
23,"(1, 37)",0.9707142857142858,False
24,"(1, 49)",0.9711666666666666,False
25,"(18, 49)",0.9718333333333333,False
26,"(1, 49)",0.9711666666666666,False
27,"(26, 49)",0.9695238095238095,False
28,"(3, 49)",0.9738333333333333,False
29,"(9, 49)",0.9742857142857143,False
30,"(15, 49)",0.9728095238095238,False
31,"(14, 49)",0.9729523809523809,False
32,"(14, 37)",0.9729285714285715,False
33,"(14, 17)",0.9640238095238096,False
34,"(14, 35)",0.9732142857142857,False
35,"(14, 48)",0.9730952380952381,False
36,"(14, 50)",0.973047619047619,False
37,"(14, 63)",0.9717142857142858,False
38,"(14, 72)",0.9710238095238095,False
39,"(14, 75)",0.9708333333333333,False
40,"(20, 75)",0.969,False
41,"(5, 34)",0.9704761904761905,False
42,"(5, 51)",0.9747857142857143,False
43,"(1, 51)",0.9705,False
44,"(21, 51)",0.9706904761904762,False
45,"(25, 51)",0.9699523809523809,False
46,"(25, 60)",0.969047619047619,False
47,"(25, 74)",0.9677857142857142,False
48,"(24, 74)",0.9679047619047619,False
49,"(24, 71)",0.9681904761904762,False
50,"(24, 70)",0.9683809523809523,False
51,"(24, 67)",0.9688333333333333,False
52,"(24, 63)",0.9688571428571429,False
53,"(24, 69)",0.9686190476190476,False
54,"(16, 69)",0.9707619047619047,False
55,"(12, 69)",0.9723809523809523,False
56,"(12, 59)",0.9727380952380952,False
57,"(15, 59)",0.9715,False
58,"(15, 48)",0.9726904761904762,False
59,"(15, 51)",0.9723571428571429,False
60,"(15, 44)",0.9724285714285714,False
61,"(5, 34)",0.9723333333333334,False
62,"(5, 27)",0.9735238095238095,False
63,"(5, 32)",0.9748095238095238,False
64,"(5, 38)",0.9742619047619048,False
65,"(5, 30)",0.9745238095238096,False
66,"(7, 30)",0.9743571428571429,False
67,"(19, 30)",0.972,False
68,"(19, 35)",0.9720238095238095,False
69,"(19, 31)",0.972,False
70,"(26, 31)",0.9705476190476191,False
71,"(21, 31)",0.9717619047619048,False
72,"(21, 32)",0.9715476190476191,False
73,"(21, 33)",0.9716190476190476,False
74,"(13, 33)",0.9735952380952381,False
75,"(18, 33)",0.9727142857142858,False
76,"(19, 33)",0.9721428571428572,False
77,"(23, 33)",0.9712380952380952,False
78,"(23, 31)",0.9713095238095238,False
79,"(24, 31)",0.9710238095238095,False
80,"(25, 31)",0.9705,False
81,"(5, 34)",0.9695714285714285,False
82,"(2, 34)",0.9710714285714286,False
83,"(2, 37)",0.9707142857142858,False
84,"(2, 38)",0.9710952380952381,False
85,"(2, 34)",0.9710714285714286,True
86,"(6, 34)",0.9752857142857143,False
87,"(7, 34)",0.9749285714285714,False
88,"(8, 34)",0.9745,False
89,"(8, 33)",0.9742857142857143,False
90,"(8, 35)",0.974452380952381,False
91,"(8, 33)",0.9742857142857143,False
92,"(8, 35)",0.974452380952381,False
93,"(9, 35)",0.9744285714285714,False
94,"(9, 36)",0.9745952380952381,False
95,"(9, 35)",0.9744285714285714,False
96,"(8, 35)",0.974452380952381,False
97,"(8, 36)",0.9747142857142858,False
98,"(8, 36)",0.9747142857142858,False
99,"(8, 36)",0.9747142857142858,False
